state,district,year,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
andaman and nicobar islands,andamans,2025,9,23,4,0,3,159,76,241
andaman and nicobar islands,andamans,2025,10,15,0,0,2,73,43,139
andaman and nicobar islands,andamans,2025,11,13,0,0,0,212,48,174
andaman and nicobar islands,andamans,2025,12,19,1,0,2,299,90,232
andaman and nicobar islands,nicobar,2025,9,41,6,0,2,149,93,155
andaman and nicobar islands,nicobar,2025,10,6,4,0,9,50,36,63
andaman and nicobar islands,nicobar,2025,11,12,0,0,5,105,132,58
andaman and nicobar islands,nicobar,2025,12,5,1,0,10,65,212,53
andaman and nicobar islands,nicobars,2025,9,1,0,0,0,0,1,0
andaman and nicobar islands,north and middle andaman,2025,9,38,2,0,10,240,559,187
andaman and nicobar islands,north and middle andaman,2025,10,20,1,0,8,141,303,108
andaman and nicobar islands,north and middle andaman,2025,11,31,0,0,21,294,467,114
andaman and nicobar islands,north and middle andaman,2025,12,39,1,0,13,422,443,148
andaman and nicobar islands,south andaman,2025,9,69,4,0,62,413,1069,372
andaman and nicobar islands,south andaman,2025,10,33,3,0,56,342,558,244
andaman and nicobar islands,south andaman,2025,11,53,3,0,114,814,542,287
andaman and nicobar islands,south andaman,2025,12,61,2,0,134,1237,970,366
andhra pradesh,adilabad,2025,9,523,131,0,348,5241,1108,6511
andhra pradesh,adilabad,2025,10,236,71,1,459,4477,2245,5259
andhra pradesh,adilabad,2025,11,286,63,0,764,6371,1420,4140
andhra pradesh,adilabad,2025,12,92,16,0,635,6656,1641,4749
andhra pradesh,alluri sitharama raju,2025,9,332,47,8,219,1349,700,711
andhra pradesh,alluri sitharama raju,2025,10,265,26,4,195,1360,749,1270
andhra pradesh,alluri sitharama raju,2025,11,280,32,14,307,1925,1099,1013
andhra pradesh,alluri sitharama raju,2025,12,228,11,8,312,2082,868,1362
andhra pradesh,anakapalli,2025,9,146,4,0,165,1411,111,292
andhra pradesh,anakapalli,2025,10,86,4,0,240,1194,373,281
andhra pradesh,anakapalli,2025,11,169,4,4,355,1788,429,303
andhra pradesh,anakapalli,2025,12,122,0,4,461,3544,455,519
andhra pradesh,anantapur,2025,9,1266,122,0,739,7908,1548,4191
andhra pradesh,anantapur,2025,10,979,80,0,2087,7830,5574,6560
andhra pradesh,anantapur,2025,11,1232,88,0,2975,11056,4338,6853
andhra pradesh,anantapur,2025,12,612,36,0,2148,12850,3306,8544
andhra pradesh,ananthapur,2025,9,521,50,0,384,2482,1685,1516
andhra pradesh,ananthapur,2025,10,418,39,0,2069,2703,5552,2105
andhra pradesh,ananthapur,2025,11,476,34,0,2695,3911,3738,2396
andhra pradesh,ananthapur,2025,12,428,28,0,1924,4528,3475,3053
andhra pradesh,ananthapuramu,2025,9,917,52,4,539,3291,2517,1352
andhra pradesh,ananthapuramu,2025,10,669,42,1,1164,3569,7446,1540
andhra pradesh,ananthapuramu,2025,11,829,41,3,1642,4973,5257,1819
andhra pradesh,ananthapuramu,2025,12,603,24,2,1853,7714,5008,2574
andhra pradesh,annamayya,2025,9,244,14,48,265,2058,191,385
andhra pradesh,annamayya,2025,10,164,15,6,441,1920,634,326
andhra pradesh,annamayya,2025,11,250,11,30,619,3002,655,372
andhra pradesh,annamayya,2025,12,210,8,21,674,4436,734,605
andhra pradesh,bapatla,2025,9,113,18,3,194,1372,134,182
andhra pradesh,bapatla,2025,10,75,11,2,202,1004,462,171
andhra pradesh,bapatla,2025,11,133,13,6,378,1765,769,203
andhra pradesh,bapatla,2025,12,100,13,5,389,2537,699,298
andhra pradesh,chittoor,2025,9,2315,246,12,1870,14717,5093,7074
andhra pradesh,chittoor,2025,10,1620,165,5,4209,11611,19343,6698
andhra pradesh,chittoor,2025,11,2143,170,13,6604,19402,22227,8670
andhra pradesh,chittoor,2025,12,1419,78,13,4987,23693,12330,11267
andhra pradesh,cuddapah,2025,9,1561,162,0,972,9688,3714,4701
andhra pradesh,cuddapah,2025,10,1206,83,0,1967,10484,10849,5852
andhra pradesh,cuddapah,2025,11,1604,115,1,3088,14164,11718,5958
andhra pradesh,cuddapah,2025,12,1148,53,1,2472,15809,11700,8209
andhra pradesh,dr b r ambedkar konaseema,2025,9,199,12,9,182,1790,200,309
andhra pradesh,dr b r ambedkar konaseema,2025,10,99,9,1,264,1313,653,240
andhra pradesh,dr b r ambedkar konaseema,2025,11,179,7,4,379,2301,941,295
andhra pradesh,dr b r ambedkar konaseema,2025,12,141,2,3,449,3249,656,440
andhra pradesh,east godavari,2025,9,2291,209,3,1669,17407,7385,7853
andhra pradesh,east godavari,2025,10,1361,126,1,3003,13419,20988,7726
andhra pradesh,east godavari,2025,11,2041,116,5,3953,20783,26682,9204
andhra pradesh,east godavari,2025,12,1468,56,1,4131,28094,19540,12262
andhra pradesh,eluru,2025,9,165,16,1,260,2284,215,392
andhra pradesh,eluru,2025,10,100,10,1,408,1983,381,267
andhra pradesh,eluru,2025,11,180,13,10,506,2896,584,285
andhra pradesh,eluru,2025,12,123,6,4,518,3894,600,427
andhra pradesh,guntur,2025,9,2402,337,9,1601,17049,4976,8246
andhra pradesh,guntur,2025,10,1514,219,1,3160,13539,17165,8852
andhra pradesh,guntur,2025,11,2698,257,14,4667,22012,21021,10826
andhra pradesh,guntur,2025,12,2155,112,11,4006,25994,16537,13427
andhra pradesh,hyderabad,2025,9,1151,339,1,469,4855,2138,8364
andhra pradesh,hyderabad,2025,10,967,280,0,707,4033,2851,6315
andhra pradesh,hyderabad,2025,11,1083,284,0,1494,7440,3097,7432
andhra pradesh,hyderabad,2025,12,630,105,0,1017,9451,3287,10852
andhra pradesh,kakinada,2025,9,238,24,9,307,2810,250,346
andhra pradesh,kakinada,2025,10,169,28,2,370,1989,954,324
andhra pradesh,kakinada,2025,11,246,19,11,576,3330,1247,382
andhra pradesh,kakinada,2025,12,205,13,5,618,5004,890,536
andhra pradesh,karim nagar,2025,9,20,4,0,9,215,36,226
andhra pradesh,karim nagar,2025,10,21,4,0,14,181,82,163
andhra pradesh,karim nagar,2025,11,19,3,0,39,272,76,223
andhra pradesh,karim nagar,2025,12,11,0,0,20,401,71,275
andhra pradesh,karimnagar,2025,9,225,50,0,131,1985,392,2746
andhra pradesh,karimnagar,2025,10,143,24,0,193,1496,797,1494
andhra pradesh,karimnagar,2025,11,119,21,0,318,2279,639,1375
andhra pradesh,karimnagar,2025,12,65,12,0,232,2838,788,1607
andhra pradesh,khammam,2025,9,340,119,0,652,4545,1992,2699
andhra pradesh,khammam,2025,10,201,59,0,1014,4804,2726,3065
andhra pradesh,khammam,2025,11,227,72,0,1671,6086,2122,2292
andhra pradesh,khammam,2025,12,101,14,0,880,7323,1740,2368
andhra pradesh,krishna,2025,9,1995,207,7,1394,15227,5652,9254
andhra pradesh,krishna,2025,10,1127,140,3,2322,10167,13069,7233
andhra pradesh,krishna,2025,11,1741,128,18,3147,16600,17877,8508
andhra pradesh,krishna,2025,12,1300,65,6,2915,20592,11541,10526
andhra pradesh,kurnool,2025,9,3164,308,9,1604,12731,7839,9118
andhra pradesh,kurnool,2025,10,2561,212,2,3142,11947,23968,10978
andhra pradesh,kurnool,2025,11,2965,194,6,5494,18679,21105,11578
